"","prefix","band_no1","pop","sex","wk0","wk1","wk2","wk3","wk4","wk5","wk6","wk7","wk8","wk9"
"197",2631,"55401","Urban","F",NA,NA,NA,NA,NA,NA,NA,18.44,17.8,NA
"198",2631,"55402","Urban","F",NA,NA,NA,NA,NA,NA,NA,20.86,NA,NA
"199",2631,"55403","Urban","F",NA,NA,NA,NA,NA,NA,NA,17.22,NA,NA
"200",2631,"55404","Urban","F",NA,NA,NA,NA,NA,NA,NA,18.38,NA,17.93
"201",2631,"55405","Urban","F",NA,NA,NA,NA,NA,NA,NA,20.56,NA,NA
"202",2631,"55406","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,18.54,NA
"203",2631,"55407","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,18.68,NA
"204",2631,"55408","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,19.59,NA
"205",2631,"55409","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,18.68,18.05
"206",2631,"55410","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,19.42,NA
"207",2631,"55411","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,18.11,NA
"208",2631,"55412","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,18.04,NA
"209",2631,"55413","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,17.12,NA
"210",2631,"55414","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,19.83,NA
"211",2631,"55415","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,19.22,NA
"212",2631,"55417","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99
"213",2631,"55418","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.24
"214",2631,"55419","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.51
"215",2631,"55420","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.21
"216",2631,"55422","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.06
"217",2631,"55423","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.03
"218",2631,"55424","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.87
"219",2631,"57177","Urban","M",NA,NA,NA,NA,NA,NA,18.06,NA,NA,NA
"220",2641,"57123","Rural","F",NA,19.6,19.2,18.7,20,19.4,19.56,19.29,19.31,19.35
"221",2641,"57180","Urban","F",NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA
